end,value,state,type
11/16/19,228000,nat,h
11/23/19,213000,nat,h
11/30/19,203000,nat,h
12/7/19,252000,nat,h
12/14/19,235000,nat,h
12/21/19,224000,nat,h
12/28/19,223000,nat,h
1/4/20,214000,nat,h
1/11/20,205000,nat,h
1/18/20,223000,nat,h
1/25/20,217000,nat,h
2/1/20,203000,nat,h
2/8/20,206000,nat,h
2/15/20,211000,nat,h
2/22/20,219000,nat,h
2/29/20,215000,nat,h
3/7/20,211000,nat,h
3/14/20,282000,nat,h
,,,
